fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
01/03/2020 02:46:46,COMBUSTIBLE,GENERAL MOTORS,Felix Eaton,31278049 6252,SUEMY,629-8007 Gravida Ave,"$1,857",555-530-3054,L4Q 6Y0
07/11/2021 10:18:37,AUXILIO VIAL,GENERAL MOTORS,Griffith Cole,73268882 4878,MARISOL,Ap #754-747 Et Ave,"$5,661",551-490-5440,Q2L 8I6
10/05/2020 11:21:13,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Caesar Buchanan,99240177 2270,ANDRES,4793 Velit St.,"$4,225",558-750-8630,F0F 1I9
03/09/2021 10:06:37,PAGO DIRECTO,GENERAL MOTORS,Gretchen Wiley,90186649 9614,RAMIRO,850-4808 Vulputate Rd.,"$4,234",557-782-2434,I8N 9K6
15/10/2020 02:30:00,PAGO DIRECTO,MAZDA,Flynn Moss,63138123 8240,CESAR,9369 Fusce Rd.,"$5,743",558-186-7806,C3C 4E4
29/01/2021 10:43:17,AUXILIO VIAL,GNP,Simone Alvarado,29545317 2543,SUSANA,764-2278 Mattis. St.,"$3,809",557-401-2215,M6F 8D4
31/03/2022 03:05:39,PAGO DIRECTO,GONER,Cole George,24435155 7854,RIGOBERTO,Ap #445-3808 Molestie Rd.,"$3,790",552-696-6366,X9N 1S0
10/02/2020 01:06:18,COMBUSTIBLE,GONER,Ignacia Lucas,57401458 5679,SUSANA,607-2432 Fames Rd.,$43,557-356-3716,Q1R 1Q4
18/01/2020 09:32:37,COMBUSTIBLE,GENERAL MOTORS,Tallulah Wiley,71453265 2600,SUSANA,"2269 Tortor, Ave","$6,336",556-734-6851,V6D 2C0
26/07/2020 08:17:47,URGENCIAS HOSPITAL,GNP,Kelly Sparks,65144767 1152,MARISOL,Ap #550-8372 Ut Rd.,"$9,483",553-776-1598,S3D 1H4
02/01/2022 04:51:58,GRUA,GENERAL MOTORS,Rogan Nolan,67524224 0128,RIGOBERTO,942-6033 Erat. Rd.,"$4,113",558-617-6365,H4F 3Q7
21/04/2022 08:17:03,URGENCIAS HOSPITAL,SEGUROS ATLAS,Lydia Stewart,73655252 9448,MARISOL,7114 Eget Rd.,"$1,279",557-576-6143,Q4D 4M3
18/09/2020 07:07:55,AUXILIO VIAL,MAZDA,Arsenio Kinney,59171864 2471,CESAR,Ap #956-7130 Ornare Avenue,"$3,953",554-566-6637,I5L 2L2
12/04/2021 02:39:13,COMBUSTIBLE,GONER,Daniel Hood,61853156 4556,SUSANA,"P.O. Box 610, 545 Purus St.","$7,408",552-485-0269,L1Y 7Z3
18/01/2020 08:05:32,AUXILIO VIAL,GENERAL MOTORS,Madaline England,65545965 2081,MARISOL,Ap #376-548 Ac St.,$868,551-527-8545,Q6Q 8S1
09/10/2020 06:41:47,PAGO DIRECTO,MAZDA,Tanya Knapp,64221347 0750,CESAR,"P.O. Box 323, 6351 Vel, St.","$7,673",551-576-6828,G6J 5L5
09/08/2021 04:37:31,PAGO DIRECTO,MAZDA,Susan Compton,66326691 4485,MARISOL,986-3195 Eget Street,"$4,371",557-771-2610,O8F 9X5
23/03/2022 04:48:14,URGENCIAS HOSPITAL,GNP,Vivien Clemons,76380862 4715,CESAR,380-5075 Mauris Avenue,"$8,125",558-466-3472,T8N 8D8
01/12/2020 09:57:10,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Nerea Nguyen,84604442 3892,MARISOL,263-1917 Est. Rd.,"$1,608",551-643-5726,T8Q 8U3
06/04/2021 05:13:31,PAGO DIRECTO,GONER,Nathaniel Madden,86151227 5565,TANIA,Ap #870-8674 Sodales. Rd.,"$9,888",552-681-0255,M4I 3T4
15/09/2021 07:52:28,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Hoyt Avila,23179831 5632,ANDRES,"P.O. Box 292, 8612 Non Rd.","$3,592",559-653-8203,F2S 4D0
04/03/2021 09:43:01,CASETAS,GENERAL MOTORS,Sigourney Rodgers,95224720 4331,RIGOBERTO,Ap #619-3211 Leo St.,"$8,270",552-527-7866,C8D 6P2
20/02/2020 08:49:49,AUXILIO VIAL,MAZDA,Michael Campos,53559867 7265,RIGOBERTO,6773 Nunc Ave,"$5,172",558-273-6367,X7Y 3U9
