fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
18/12/2020 02:30:13,URGENCIAS HOSPITAL,GONER,Mechelle Chen,37333277 8945,TANIA,Ap #198-2520 Cum St.,"$2,966",554-658-5164,R0M 5J6
28/07/2020 12:09:34,URGENCIAS HOSPITAL,MAZDA,Lee Gibson,09144870 3863,SUEMY,"P.O. Box 293, 1589 Nec, Rd.","$5,274",558-738-1558,U7L 5M3
16/03/2020 04:44:09,COMBUSTIBLE,SEGUROS ATLAS,Rudyard Workman,97921634 3384,RIGOBERTO,"1651 Vulputate, Street","$8,710",555-841-3328,K8J 0W7
15/12/2020 07:46:35,PAGO DIRECTO,MAPFRE SEGUROS,Nichole Hubbard,76301644 3205,SUSANA,1806 Tellus Av.,"$9,761",553-946-0341,Y2T 3G4
19/06/2021 12:04:19,CASETAS,MAZDA,Cruz Mayer,44765117 8311,SUEMY,Ap #888-2240 In Ave,$151,553-234-2604,M0T 6B2
14/01/2022 08:37:15,PAGO DIRECTO,GNP,Kirby Parrish,16257669 6725,TANIA,"Ap #220-4598 Tincidunt, Rd.","$6,556",555-587-1511,E6M 5T6
11/03/2021 07:39:41,GRUA,GENERAL MOTORS,Darius Maldonado,20905746 6634,ANDRES,"P.O. Box 542, 6150 Convallis Road",$921,556-978-1667,H2N 7X3
27/01/2022 02:17:10,PAGO DIRECTO,GENERAL MOTORS,Neil Porter,47118855 0882,CESAR,"Ap #273-516 Non, Street","$7,058",556-116-5167,U1A 1S6
10/12/2020 04:39:37,AUXILIO VIAL,GENERAL MOTORS,Abbot Snider,67665691 2576,ANDRES,"P.O. Box 138, 4912 Facilisis St.","$3,550",558-850-3213,B6S 4K6
06/08/2020 08:57:08,URGENCIAS HOSPITAL,GENERAL MOTORS,Daniel Bird,51521141 6896,RIGOBERTO,"270-9219 Vulputate, St.","$9,155",556-875-2309,W3R 3L8
03/02/2022 10:18:13,COMBUSTIBLE,MAZDA,Nolan Walters,92728854 6761,RIGOBERTO,Ap #744-1295 Et St.,"$8,063",557-479-9867,D4J 8T3
