fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
22/04/2022 01:55:45,AUXILIO VIAL,MAZDA,Sebastian Clay,81273717 8710,CESAR,"P.O. Box 445, 4973 Urna Av.","$2,770",553-677-2063,H5E 6Z7
26/03/2020 01:02:53,GRUA,GNP,Jared Trujillo,74608347 2411,MARISOL,Ap #130-2869 Sodales Road,$705,556-683-7871,C4D 3F8
28/01/2021 10:30:05,PAGO DIRECTO,GONER,Aline Good,19176188 4225,TANIA,7458 Ipsum Avenue,"$8,304",557-473-4238,X7W 1R2
29/08/2021 04:01:09,PAGO DIRECTO,MAZDA,Alden Brooks,55324522 6259,EDGAR,Ap #936-1154 Euismod Avenue,"$4,008",556-475-2197,F3C 8H5
20/09/2021 08:57:08,GRUA,GONER,Bo Terry,36625486 6417,EDGAR,564-4415 Ac Ave,"$4,731",555-567-5615,W4S 4D4
07/04/2021 12:23:49,CASETAS,GENERAL MOTORS,Donovan Forbes,45567428 0472,EDGAR,590-4798 Cubilia Ave,"$5,430",559-966-6783,U1T 6R1
13/11/2021 06:19:40,CASETAS,SEGUROS ATLAS,Thaddeus Everett,48775244 2691,EDGAR,7470 Nulla Road,"$9,802",558-258-1114,X8G 8E4
09/04/2022 10:46:08,URGENCIAS HOSPITAL,MAZDA,Dante Hoover,63118516 0213,SUEMY,"518-7354 Et, St.",$644,555-351-6246,V2C 8I8
20/01/2022 10:33:54,GRUA,GONER,Leo Rodgers,59874424 9946,SUEMY,144-1015 Ipsum St.,"$9,907",551-122-7361,M8F 9H6
13/05/2020 01:32:29,AUXILIO VIAL,MAPFRE SEGUROS,Matthew Yates,08713633 4796,EDGAR,"889-8652 Ante, St.","$2,024",555-636-2845,Y0P 5U5
20/06/2021 03:17:49,CASETAS,GONER,Raya Blair,53731559 6829,TANIA,"Ap #110-848 A, St.","$3,874",558-536-6336,S3G 8C5
05/08/2021 05:15:47,AUXILIO VIAL,SEGUROS ATLAS,Isabelle Rodriguez,41196781 4517,SUEMY,"Ap #537-3117 A, St.","$1,212",557-617-0438,D8V 2D9
23/09/2021 11:49:50,COMBUSTIBLE,GENERAL MOTORS,Helen Alford,98593641 8645,SUEMY,367-6911 Varius. Ave,"$8,275",556-751-2947,G2Y 4F6
17/09/2020 07:13:48,AUXILIO VIAL,SEGUROS ATLAS,Hector Decker,41347144 8641,ANDRES,931-1672 Felis Avenue,"$1,664",556-712-7881,K9C 4V1
21/08/2021 07:46:24,AUXILIO VIAL,GENERAL MOTORS,Neve Bentley,86841947 3224,SUEMY,"P.O. Box 787, 9122 Magna. Rd.","$4,068",553-122-3579,C2R 6Z7
08/05/2022 04:46:42,CASETAS,GNP,Erin Emerson,63232648 7613,SUSANA,Ap #711-4679 Risus. St.,"$6,383",552-919-4296,P9O 3I3
04/05/2021 10:55:06,GRUA,GONER,MacKenzie Leblanc,29316834 4133,MARISOL,Ap #324-4705 Conubia Avenue,"$7,056",556-730-5653,D5K 3J7
18/08/2021 08:30:51,CASETAS,GENERAL MOTORS,Renee Preston,43516452 6825,SUEMY,735-475 Etiam Ave,"$4,891",555-782-8561,R7V 6P6
21/10/2021 11:26:59,COMBUSTIBLE,MAPFRE SEGUROS,Hammett Stout,59229546 8141,SUEMY,527-7264 Nibh St.,"$4,079",553-464-1684,B4G 1P1
15/02/2020 03:57:05,GRUA,MAPFRE SEGUROS,Brianna Stanley,37737274 9886,ANDRES,"P.O. Box 950, 6583 Lobortis Avenue","$4,940",553-447-6551,Z5B 7C7
03/02/2021 01:46:13,CASETAS,GNP,Kenyon Lancaster,56338681 4821,CESAR,Ap #348-6998 Cursus St.,"$6,489",554-410-6726,M3N 1A3
15/05/2020 01:46:26,COMBUSTIBLE,SEGUROS ATLAS,Madeline Santiago,16828353 0288,EDGAR,"P.O. Box 783, 1013 Orci, Street","$1,785",556-735-8251,W6O 4F1
24/12/2021 09:40:58,CASETAS,GENERAL MOTORS,Danielle Munoz,75872472 6427,SUEMY,"P.O. Box 910, 4944 Cursus. St.","$8,841",554-251-4562,R4J 5Q4
21/03/2022 03:11:11,CASETAS,MAZDA,Leilani Stephenson,60568110 3687,SUEMY,369-6217 Iaculis St.,"$3,168",555-683-4528,H6K 7I2
08/03/2022 07:10:40,CASETAS,GNP,Kyla Hopkins,82671176 1453,SUSANA,6997 Lectus St.,"$1,006",555-496-5693,R5S 1V2
13/08/2020 09:26:33,CASETAS,GNP,Karina Harvey,65387134 6244,SUEMY,210-2225 Sagittis St.,"$9,816",557-538-1778,Z9P 7E6
24/06/2021 03:23:28,CASETAS,MAZDA,Skyler Hinton,64274099 1230,EDGAR,"722-6675 Vitae, St.","$8,069",557-472-7153,U7S 4X9
