fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
24/11/2020 02:04:43,PAGO DIRECTO,GNP,Blaze Avery,73778881 0372,CESAR,Ap #111-4029 Sed Rd.,"$5,090",551-571-8639,O7L 7I7
12/02/2021 07:08:57,PAGO DIRECTO,MAZDA,Astra Osborne,11938743 7696,CESAR,"P.O. Box 146, 9843 Erat St.","$1,785",556-581-3878,Q1H 7F9
25/02/2021 09:45:49,GRUA,MAPFRE SEGUROS,Nehru Dillon,07104829 5825,SUSANA,"P.O. Box 161, 127 Accumsan Av.",$878,554-631-1724,I3L 9W2
21/01/2020 08:19:50,GRUA,GNP,Anthony Barton,73930890 1729,SUEMY,"8214 Eleifend, Av.",$417,557-988-9647,V9Q 8S2
14/11/2020 12:53:30,PAGO DIRECTO,SEGUROS ATLAS,Felix Leon,85656695 9372,CESAR,"P.O. Box 770, 5796 Mauris, Rd.","$5,648",553-807-8885,F4J 8O1
01/02/2022 03:36:57,GRUA,MAZDA,Yuli Matthews,44375634 5651,TANIA,"P.O. Box 751, 5783 Cursus. Ave","$4,221",555-548-9368,X9Z 7O7
08/05/2020 09:28:37,PAGO DIRECTO,GNP,Sierra Newman,13511712 5177,EDGAR,Ap #306-9459 Dictum Avenue,"$8,391",558-215-7878,I1U 6X7
26/04/2022 04:29:29,CASETAS,GNP,Kaseem Waters,63740898 8626,ANDRES,943-6243 Nisi. Ave,"$7,850",551-327-6734,V8X 2D4
23/05/2021 08:21:18,GRUA,GENERAL MOTORS,Erin Guzman,15141638 3317,SUEMY,Ap #193-7482 Nibh. Ave,"$4,342",559-237-9365,P1J 3N2
03/07/2020 05:11:54,URGENCIAS HOSPITAL,GNP,Ayanna Mathis,25836847 6635,SUEMY,597-6960 Eros St.,"$1,644",556-877-6298,S8U 3C4
21/01/2021 01:22:04,GRUA,GNP,Brielle Vazquez,05813868 2438,SUSANA,Ap #436-9083 Fusce Road,"$6,152",557-444-0618,B6K 4S6
13/02/2021 03:22:51,CASETAS,GONER,Kristen Navarro,11897534 8047,EDGAR,"P.O. Box 859, 4718 Enim Rd.","$8,832",559-762-6387,D8K 3W1
26/02/2020 03:31:20,URGENCIAS HOSPITAL,SEGUROS ATLAS,Brielle Bean,46851174 3711,MARISOL,926-7456 Sodales. Ave,"$3,604",559-632-5450,H5D 6N7
07/03/2022 04:26:46,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Ulysses Wilder,14780065 5786,SUEMY,299-9892 Tempus Rd.,"$5,434",553-334-4621,S9D 3O5
26/07/2021 05:00:39,GRUA,GNP,Tyler Shelton,40230502 0785,RAMIRO,"644-8096 Nec, Street","$1,610",556-297-3265,W5J 3P5
04/09/2020 05:02:53,GRUA,GONER,Hayes Hines,47417323 0147,RAMIRO,278-7935 Imperdiet Ave,"$5,857",553-208-4371,W3I 9P6
12/11/2021 12:55:38,PAGO DIRECTO,GENERAL MOTORS,Alyssa Maynard,94172271 3295,MARISOL,628-1329 A Road,"$3,317",559-701-9443,J7O 0N6
06/05/2021 04:27:11,GRUA,GONER,Acton Walters,71685526 9551,RIGOBERTO,989-5005 Ut Av.,"$8,951",559-592-5145,Q3M 7N3
23/04/2021 03:49:32,COMBUSTIBLE,MAPFRE SEGUROS,Aileen Sawyer,54612252 7332,EDGAR,"P.O. Box 481, 9077 Sem St.","$5,815",558-538-5855,I6H 8N5
04/08/2020 03:28:45,COMBUSTIBLE,SEGUROS ATLAS,Ferris Clay,52973381 5202,MARISOL,492-7675 Ultrices Rd.,"$6,603",558-281-8761,C4M 2I4
12/08/2021 05:26:30,GRUA,MAZDA,Marah Hayden,21601771 3541,RAMIRO,Ap #168-9337 Luctus St.,$956,553-413-2363,Y3U 8Y7
03/02/2022 02:21:48,AUXILIO VIAL,GNP,Brielle Pena,11762254 5152,SUSANA,932 Risus Road,"$7,580",558-739-8688,D5R 8P3
13/06/2020 09:47:01,GRUA,MAZDA,Colby Hensley,74559196 1865,TANIA,"Ap #366-9969 Et, Av.","$6,027",555-358-3043,C5Q 4P7
10/03/2022 07:57:00,URGENCIAS HOSPITAL,GONER,Guy Simmons,96745667 5272,SUSANA,270-1821 Blandit St.,$335,551-242-8739,C8P 3J6
22/01/2022 08:57:31,CASETAS,GENERAL MOTORS,Quail Barnett,32603321 4718,ANDRES,"248-2330 Et, Rd.","$4,733",557-701-8686,B7M 7C7
28/04/2020 12:46:01,AUXILIO VIAL,GENERAL MOTORS,Abra Forbes,22046802 8224,MARISOL,"459-1406 Tincidunt, Ave","$3,850",557-740-8011,U6N 0B7
16/06/2020 01:38:14,PAGO DIRECTO,GENERAL MOTORS,Herman Torres,11103773 8388,SUSANA,1506 Aliquam Rd.,"$8,349",555-484-4908,I4H 2E1
13/02/2022 07:19:23,GRUA,GONER,Galvin Clarke,04436880 5132,SUEMY,"P.O. Box 805, 137 Ligula. St.","$1,373",557-708-7052,Q9L 5H6
24/02/2020 07:49:29,COMBUSTIBLE,MAZDA,Celeste Rice,16375811 3806,ANDRES,Ap #279-1629 Quisque Av.,"$1,108",556-686-3042,Q4L 3D1
24/05/2020 11:19:20,URGENCIAS HOSPITAL,GNP,Amena Torres,59664480 5477,MARISOL,9601 Laoreet Road,"$7,478",555-669-1188,R4R 2L6
16/04/2021 01:50:09,AUXILIO VIAL,GNP,Nell Harding,05480618 1675,RIGOBERTO,821-8669 Congue. St.,"$2,144",558-482-2715,V4Y 2O1
14/04/2021 02:28:58,CASETAS,GONER,Chastity Kennedy,68647798 9424,MARISOL,Ap #702-3071 Donec Avenue,"$7,214",556-484-1275,O4Q 3S8
13/06/2020 03:46:46,PAGO DIRECTO,SEGUROS ATLAS,Justine Lynch,01252158 7167,ANDRES,Ap #258-9683 Lacinia Street,"$2,872",551-183-3762,F2H 9K5
24/04/2021 01:58:46,URGENCIAS HOSPITAL,MAZDA,Upton Marks,67416639 6881,RIGOBERTO,"395-7269 Leo, St.","$3,350",557-601-1763,D2V 8A1
13/03/2022 04:44:21,CASETAS,MAPFRE SEGUROS,Patricia Cortez,03531174 5354,SUEMY,"968-9544 Cursus, Av.","$4,995",558-943-8170,X7E 5P4
20/07/2020 01:59:43,AUXILIO VIAL,GONER,Xena Mcconnell,08853401 4408,CESAR,4245 Est. Rd.,$834,556-727-5108,X7Q 0C1
05/12/2020 07:12:09,GRUA,GONER,Sasha Booth,04642955 8675,SUEMY,420-3431 Nunc Road,"$3,747",558-490-9626,B3S 5Y8
21/03/2021 11:51:44,COMBUSTIBLE,GONER,Amos Barr,36245146 5313,SUEMY,Ap #578-473 Euismod Ave,"$2,705",554-525-7648,V4K 8W3
19/10/2021 10:33:58,CASETAS,GNP,Philip Lancaster,13741682 6509,SUSANA,280-8696 Aliquet Avenue,"$7,029",558-789-2108,S7S 5G9
30/08/2021 10:37:08,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Amir Cooke,14373355 4770,RIGOBERTO,"P.O. Box 386, 6123 Vel Avenue",$787,552-445-5263,X8G 5F9
28/02/2021 07:26:27,AUXILIO VIAL,GENERAL MOTORS,Michelle Rich,67463768 0456,ANDRES,180-8112 A St.,"$3,133",558-282-2623,U4N 0E1
03/04/2021 01:34:21,AUXILIO VIAL,MAZDA,Cullen Duran,85352037 1427,SUEMY,122-3823 Lectus Road,"$7,285",552-751-3766,V6T 7W1
09/10/2020 10:51:41,GRUA,SEGUROS ATLAS,Dane Roman,45851591 2358,RAMIRO,"Ap #413-2075 Sed, Rd.","$5,307",552-613-4401,P4T 9R3
08/01/2021 08:11:50,COMBUSTIBLE,MAZDA,Tallulah Nielsen,15831897 8532,SUEMY,"471-1573 Eget, Rd.","$8,978",557-351-1833,P1A 8H1
05/06/2020 03:07:01,PAGO DIRECTO,GNP,Holmes Brock,82756442 9723,RIGOBERTO,462-7456 Ipsum. Road,"$1,051",555-233-3568,E0H 0Y2
16/01/2021 08:48:41,PAGO DIRECTO,GNP,Lynn Schmidt,10898766 6071,ANDRES,826-601 Purus St.,"$1,136",553-795-8862,F4H 7P0
25/01/2022 05:01:46,PAGO DIRECTO,GENERAL MOTORS,Jakeem Garza,91314050 3238,SUEMY,Ap #562-8340 Purus Street,"$4,911",553-886-6271,I4I 6Q6
09/02/2022 11:19:04,URGENCIAS HOSPITAL,GNP,Brenda Guzman,82631772 5548,SUEMY,Ap #284-3615 Adipiscing St.,"$2,143",557-843-1566,G5U 6B1
08/01/2020 07:51:42,COMBUSTIBLE,GNP,Justina Dodson,04720808 5356,CESAR,4282 Nunc Rd.,"$6,058",558-375-2589,M4Q 7P8
05/03/2022 06:00:26,CASETAS,GNP,Yuli Herring,20163082 1335,SUEMY,"P.O. Box 920, 1173 Donec Road","$5,544",554-489-8433,X1H 4H4
30/09/2020 04:03:32,PAGO DIRECTO,GONER,Jakeem Schmidt,01487227 0441,MARISOL,"Ap #977-3787 Sapien, Avenue","$2,928",553-806-6467,P5L 5L1
