fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
11/10/2020 10:33:03,URGENCIAS HOSPITAL,MAZDA,MacKenzie Ball,83544836 2236,RAMIRO,294-3639 Id Ave,"$1,394",554-640-8230,Z0G 7G0
20/02/2022 04:49:22,AUXILIO VIAL,MAZDA,Ryder Cooke,35400171 6711,SUEMY,101-7233 Cum St.,"$3,632",555-881-8950,U3W 7Y6
09/10/2021 10:25:30,URGENCIAS HOSPITAL,GNP,May Anderson,58184792 2805,EDGAR,"Ap #275-5598 Pellentesque, St.","$4,387",555-734-2053,O7W 3B0
29/06/2021 08:22:57,CASETAS,GNP,Glenna Roach,56264134 7874,TANIA,902-1237 Cras Ave,"$8,616",555-233-2650,V5K 8Y5
18/01/2021 11:13:04,AUXILIO VIAL,MAPFRE SEGUROS,Lysandra Mayo,95977067 1572,EDGAR,280-2702 Elit Rd.,$466,557-694-3722,T1Z 0U5
31/07/2021 05:09:22,GRUA,SEGUROS ATLAS,Jordan Willis,22374839 4470,EDGAR,106-5941 Sem Road,"$9,716",555-333-6776,K5N 8O5
09/02/2021 01:51:53,AUXILIO VIAL,GNP,Michelle Silva,23433404 4872,SUEMY,Ap #841-6440 Integer Rd.,"$3,694",555-584-9378,U3M 2B3
30/03/2020 06:45:56,AUXILIO VIAL,GONER,Fitzgerald Sheppard,29554034 4781,RIGOBERTO,"P.O. Box 373, 9490 Amet, Rd.","$3,798",556-932-3918,K5K 8G1
09/04/2020 09:04:49,AUXILIO VIAL,GONER,Zeph Franks,51981265 6615,SUEMY,7372 Nam Avenue,"$6,886",554-569-6941,P0W 8N3
17/06/2021 02:01:44,CASETAS,MAZDA,Hedwig Fernandez,68536488 8383,SUEMY,Ap #898-554 At Ave,"$8,760",551-434-6718,N2H 0N8
16/07/2020 05:08:20,PAGO DIRECTO,GONER,Bevis Perez,81754374 3763,SUEMY,4454 Eget St.,"$8,861",558-746-2802,C0D 6E8
09/02/2022 07:03:46,COMBUSTIBLE,SEGUROS ATLAS,Ori Howell,14751697 6643,SUSANA,"Ap #407-7797 Lorem, Road","$6,820",551-315-4234,F9N 1S1
25/02/2022 07:41:14,CASETAS,GNP,Sylvia Chan,31678846 1936,SUSANA,Ap #741-5766 Phasellus Road,"$1,804",558-274-9938,T9K 6N7
12/07/2021 09:57:52,PAGO DIRECTO,MAPFRE SEGUROS,Reed Gay,91801433 2169,SUSANA,Ap #247-8848 Mattis Avenue,$75,558-696-2656,W0F 7N3
29/09/2021 01:14:30,COMBUSTIBLE,MAPFRE SEGUROS,Kylee Alexander,41122277 6145,RAMIRO,Ap #262-152 Egestas St.,"$1,746",557-801-8628,J8K 1Q6
15/04/2020 02:53:50,AUXILIO VIAL,SEGUROS ATLAS,Jamalia Long,11641514 6481,RAMIRO,Ap #216-3353 Proin St.,"$8,923",554-849-7362,J7I 1K5
29/09/2021 10:55:50,CASETAS,GONER,Bo Charles,01226884 1371,RAMIRO,680-4960 Sed Avenue,"$9,735",554-874-2173,C2Y 6P3
11/02/2020 03:50:20,CASETAS,MAZDA,Whitney Hobbs,94865673 0456,SUEMY,Ap #333-1587 Fringilla Rd.,"$7,374",554-408-1467,X9D 1N8
24/03/2022 12:17:48,URGENCIAS HOSPITAL,GNP,Garrett Mccarthy,63321144 1629,SUSANA,"307-5230 Et, St.","$8,473",555-714-7931,Y8Y 5W6
31/10/2020 04:40:14,URGENCIAS HOSPITAL,GENERAL MOTORS,Remedios Glass,68748492 4221,EDGAR,192-1965 Malesuada Rd.,"$5,662",554-305-8485,Q7P 6J5
24/06/2021 11:23:35,GRUA,GENERAL MOTORS,Gil Mcclure,51334284 3536,RIGOBERTO,636-9820 Proin Street,"$2,964",553-705-3361,U6F 7C7
05/04/2021 04:19:08,GRUA,MAZDA,Zenaida Snider,27849754 6351,TANIA,122-6326 Urna. Ave,$306,557-723-5558,F9G 1F8
27/11/2020 06:12:11,URGENCIAS HOSPITAL,GONER,Lucius Gallegos,98710470 3263,TANIA,Ap #145-2516 Malesuada St.,"$9,199",554-737-3257,W5Q 8O0
17/03/2021 12:14:21,GRUA,GONER,Hamilton Gallagher,12035186 3627,MARISOL,Ap #667-9242 Cursus Ave,"$6,372",554-597-7353,X4S 3H7
06/02/2022 08:43:19,CASETAS,GNP,Isadora Olson,64641715 8950,TANIA,153-8790 Nunc Road,"$8,428",551-172-5148,E2I 3S4
12/07/2021 06:07:53,AUXILIO VIAL,MAPFRE SEGUROS,Burke Simpson,56754423 4639,ANDRES,"P.O. Box 190, 4439 Eget Rd.","$8,489",553-654-1485,Y2J 7S3
26/08/2021 01:56:25,GRUA,SEGUROS ATLAS,Mary Park,57525682 5664,CESAR,766-5014 Nec Street,"$4,265",555-413-6315,L6T 1Q6
15/04/2021 11:43:00,URGENCIAS HOSPITAL,SEGUROS ATLAS,Ava Gibbs,81944032 5714,SUEMY,"P.O. Box 434, 3010 Suscipit, Rd.","$3,935",556-341-1597,E4Z 2Y8
04/03/2022 04:45:59,PAGO DIRECTO,GONER,Zeph Aguilar,74525251 2868,SUEMY,6261 Nec Street,"$9,944",558-404-8830,I8O 3H7
21/07/2020 02:09:31,URGENCIAS HOSPITAL,MAZDA,Stephanie Tillman,24876249 0117,CESAR,Ap #218-2352 Imperdiet St.,"$4,394",552-660-8156,F6M 5I2
09/12/2021 05:57:59,AUXILIO VIAL,GONER,Clark Slater,05776483 8407,MARISOL,Ap #607-1771 Ultricies Avenue,"$5,543",556-526-7361,V9B 0C5
23/11/2020 04:34:52,AUXILIO VIAL,MAPFRE SEGUROS,Sebastian Tucker,14385053 8484,RAMIRO,604-5965 Metus Rd.,"$3,505",552-388-2248,O5O 4Y7
29/11/2020 10:04:27,AUXILIO VIAL,GNP,Uriel Calderon,35558178 0437,CESAR,230-6590 Aenean St.,"$1,306",558-422-9007,N4F 2C6
17/01/2020 03:37:15,AUXILIO VIAL,MAZDA,Quinn Jarvis,89831236 5873,TANIA,Ap #276-6670 Tincidunt Road,"$6,009",559-658-5775,D5D 7D7
27/06/2021 09:54:04,GRUA,GENERAL MOTORS,Mercedes Black,12047386 6531,RIGOBERTO,977-1485 Feugiat St.,"$4,305",552-688-2547,M5U 1P7
08/04/2021 09:50:32,URGENCIAS HOSPITAL,GNP,Bernard Decker,53421527 3308,TANIA,"P.O. Box 329, 9680 In Street","$4,701",556-558-7835,O3B 1N0
06/12/2021 09:39:19,GRUA,GNP,Chanda Mcmahon,27527840 4255,TANIA,"Ap #611-2701 Vulputate, Street","$2,643",556-417-5280,T0W 6J0
26/01/2022 11:11:51,URGENCIAS HOSPITAL,GNP,Maryam Rivas,41247726 7374,RAMIRO,5846 Morbi St.,"$9,494",554-333-0685,K6S 8V5
22/01/2021 08:24:55,PAGO DIRECTO,GENERAL MOTORS,Jael Rojas,70487371 5353,SUSANA,143-7505 Scelerisque St.,"$1,639",554-896-7501,J0M 4M7
22/08/2021 03:39:14,PAGO DIRECTO,MAZDA,Harrison Conley,49404711 8546,CESAR,106 Vehicula St.,$323,556-887-6624,H4B 3D5
07/03/2021 09:02:55,GRUA,MAPFRE SEGUROS,Acton Blevins,13128644 3723,ANDRES,428-5932 Ligula. Avenue,"$9,310",559-630-6672,X3B 4Q4
22/03/2022 09:48:35,AUXILIO VIAL,MAZDA,Irma Hewitt,48703881 4646,TANIA,"P.O. Box 260, 4040 Integer Street","$3,017",559-875-0535,S8B 3B5
