fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
02/03/2020 12:18:45,CASETAS,MAZDA,Lars Butler,64871276 0331,SUEMY,754-7772 Vel Street,"$9,815",555-718-5359,W1H 4X0
03/05/2020 10:12:29,PAGO DIRECTO,GONER,Sonya Calhoun,22389571 7663,ANDRES,"5159 Laoreet, Ave","$9,849",555-558-5459,J8D 1X0
25/09/2020 02:43:08,PAGO DIRECTO,MAPFRE SEGUROS,Nyssa Justice,85622391 4975,ANDRES,128-7614 Volutpat. St.,"$9,142",555-770-6115,X8H 0B3
04/01/2020 01:47:23,URGENCIAS HOSPITAL,GNP,Nash Pittman,56460514 1761,SUEMY,110-6178 Arcu. Street,"$6,084",554-898-1875,G1W 7O1
01/08/2020 08:35:35,AUXILIO VIAL,GONER,Donna Bass,59374787 7654,RIGOBERTO,125-2988 Nunc Avenue,"$8,048",555-866-2511,P7W 6F6
01/08/2021 04:30:44,CASETAS,SEGUROS ATLAS,Jesse Lynn,36469859 1815,SUSANA,570-4356 Non Avenue,"$2,465",554-564-9816,B6L 2D3
11/10/2021 02:13:35,COMBUSTIBLE,MAPFRE SEGUROS,Naomi Cannon,53237433 4741,RAMIRO,5968 Amet Rd.,$457,552-854-6115,N6U 8J4
16/03/2021 07:01:54,URGENCIAS HOSPITAL,MAZDA,Maxwell Poole,37024720 5151,RIGOBERTO,"P.O. Box 274, 6193 Magna, Street","$6,608",553-324-5115,V9X 6D2
27/12/2021 06:28:30,GRUA,SEGUROS ATLAS,Audrey Clements,54359167 5205,TANIA,5209 Orci Rd.,"$5,110",552-439-1788,I3V 4N3
11/09/2020 06:05:56,CASETAS,SEGUROS ATLAS,Lev Snider,62178250 1427,EDGAR,140-176 Mauris Rd.,"$3,785",555-248-2279,Y9D 3U0
17/10/2020 07:27:05,PAGO DIRECTO,MAZDA,Kirk Gross,46971613 5440,ANDRES,"P.O. Box 702, 3007 Nec Avenue","$7,242",555-236-7031,K8Z 2F1
22/09/2020 01:11:59,CASETAS,GONER,Yasir Walter,84884376 4087,EDGAR,Ap #507-6703 Nibh. Rd.,$507,554-349-4854,W2J 7P6
30/08/2021 01:42:44,CASETAS,MAPFRE SEGUROS,Darryl Bradford,25505516 0225,MARISOL,514-5793 Nam Road,"$8,999",551-866-3389,T9F 4D6
13/01/2021 08:44:32,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Hannah Donaldson,56674148 5119,ANDRES,156-1539 Euismod St.,"$6,926",556-265-6662,C3R 7T8
16/10/2020 03:35:18,COMBUSTIBLE,GNP,Wesley Cruz,83117341 3695,CESAR,743-8925 Eu Avenue,"$3,934",554-676-9456,J2F 6R7
