fechaOc,servicio,nombreCliente,titular,noPoliza,assistant,origen,importe,telefono,placa
29/03/2021 12:42:41,URGENCIAS HOSPITAL,GENERAL MOTORS,Buckminster Delgado,74606717 2543,RIGOBERTO,422-4511 Cursus Rd.,"$5,449",555-711-6365,E7I 1C1
01/06/2021 01:18:10,GRUA,GNP,Cadman Cunningham,89933274 3326,SUSANA,Ap #864-2984 Nisi Av.,"$2,754",552-976-8764,C2X 2X2
21/12/2021 03:56:10,AUXILIO VIAL,MAPFRE SEGUROS,Nigel Luna,24425908 9857,EDGAR,627-546 Mauris. St.,"$9,286",559-515-2542,F8P 9O6
03/03/2021 12:59:14,URGENCIAS HOSPITAL,MAZDA,Wyatt Jefferson,67643214 7448,CESAR,"P.O. Box 290, 8321 Maecenas Rd.","$1,523",556-918-6026,V7C 1Z1
09/02/2022 04:34:11,AUXILIO VIAL,MAZDA,Aladdin Valenzuela,79351040 3576,MARISOL,645-8522 Quam St.,"$3,190",552-773-8863,L7Q 1D1
17/04/2020 09:28:14,GRUA,SEGUROS ATLAS,Ori Guerra,22877207 8353,RAMIRO,Ap #921-4561 Vel Ave,"$9,147",554-773-2815,U5I 6V1
20/07/2020 10:55:17,GRUA,GENERAL MOTORS,Donovan Hendrix,85683421 2386,EDGAR,Ap #747-2168 Consectetuer Road,"$7,635",559-266-1455,D4R 3O2
21/04/2022 10:32:11,PAGO DIRECTO,GONER,Acton Warner,83452225 9336,RIGOBERTO,"Ap #534-1915 Vitae, Rd.","$4,229",559-226-6384,V2R 1I5
21/04/2022 11:09:03,URGENCIAS HOSPITAL,GONER,Genevieve Nicholson,16641753 7226,ANDRES,"P.O. Box 441, 4009 Natoque Av.","$6,077",553-851-7604,U6Q 4K3
28/07/2021 07:33:13,CASETAS,SEGUROS ATLAS,Quintessa Ballard,70279135 5920,ANDRES,"P.O. Box 750, 4425 Et Av.",$969,556-711-9214,M1A 6R7
24/10/2020 01:17:03,CASETAS,MAPFRE SEGUROS,Whilemina Kaufman,58834574 5662,ANDRES,"P.O. Box 575, 8946 Eget St.","$6,037",556-884-1371,C2Q 9N6
31/03/2022 09:04:45,PAGO DIRECTO,MAZDA,Hop Simon,72686275 8017,SUSANA,"P.O. Box 524, 1741 Nibh Rd.","$6,887",552-654-8944,H6A 1T6
31/03/2020 12:36:05,CASETAS,GNP,Grant Booth,04967862 4721,SUSANA,Ap #281-9304 Auctor Rd.,"$1,606",556-332-8295,E0K 3B4
03/12/2020 07:49:13,URGENCIAS HOSPITAL,GNP,Lesley Trevino,27651592 7444,RIGOBERTO,840-4380 Sociis Avenue,"$1,280",554-608-5049,H7W 2X5
28/11/2021 01:41:35,URGENCIAS HOSPITAL,GENERAL MOTORS,Amal Collier,53986335 7830,CESAR,Ap #233-6693 Phasellus Ave,"$4,586",558-432-4444,I0R 7H1
04/09/2021 10:42:51,URGENCIAS HOSPITAL,MAZDA,Lesley Brady,06819927 7166,CESAR,Ap #327-9456 Nulla Rd.,"$2,126",552-477-2462,B2T 4D7
09/12/2020 06:14:35,CASETAS,MAZDA,Acton Good,21838531 7178,RAMIRO,571-5386 Dui Rd.,"$9,875",553-618-6344,I2M 1C7
01/10/2021 06:24:28,AUXILIO VIAL,SEGUROS ATLAS,Benedict Santana,35617522 0357,ANDRES,"P.O. Box 417, 336 Mi St.","$3,388",552-540-4674,L8Y 2R1
13/11/2020 01:10:27,URGENCIAS HOSPITAL,SEGUROS ATLAS,Rowan Richard,24581747 6102,SUSANA,"P.O. Box 555, 6364 Pharetra. St.","$1,088",555-277-8310,M8Y 8J4
20/10/2021 06:47:00,GRUA,GNP,Delilah Parsons,66212291 2443,SUEMY,6328 Sodales. St.,"$2,382",553-441-5054,U3X 6S8
25/05/2021 09:54:57,GRUA,GONER,Wesley Hurst,11817151 9602,EDGAR,Ap #407-9305 Mi Rd.,"$1,406",556-751-1477,F2X 8O5
13/02/2022 03:22:23,CASETAS,MAPFRE SEGUROS,Simon Crane,19211199 5625,ANDRES,Ap #372-3022 Aliquet Road,"$9,570",554-570-2813,R6C 1Q8
11/03/2022 07:58:01,GRUA,SEGUROS ATLAS,Nathan Henderson,60927727 1489,CESAR,6047 Malesuada. Rd.,"$7,398",558-973-0251,Y2K 9T7
02/06/2020 05:53:56,CASETAS,SEGUROS ATLAS,Alan Travis,51819696 1982,RIGOBERTO,Ap #427-8831 Lacus. Street,"$7,732",552-445-5616,D1O 3I0
14/10/2021 03:16:09,COMBUSTIBLE,SEGUROS ATLAS,Tara Ellis,24745719 5493,RAMIRO,Ap #891-1811 Sollicitudin Avenue,"$6,052",554-742-4422,P6M 3V3
08/01/2021 02:37:37,GRUA,MAPFRE SEGUROS,Roary Frederick,36716441 3752,CESAR,Ap #783-3419 Egestas St.,"$1,144",557-458-4415,N6C 8U2
18/12/2021 04:52:48,GRUA,GNP,Kenyon Calhoun,80555682 2469,RAMIRO,8283 Faucibus Rd.,"$8,500",554-618-5913,Q6C 5X3
29/01/2021 05:12:40,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Dale Sandoval,05727053 8784,RIGOBERTO,6624 Metus Avenue,"$6,296",557-804-6676,K0Y 1G0
06/03/2022 10:15:48,URGENCIAS HOSPITAL,GENERAL MOTORS,Emerson Flynn,80956167 1614,SUSANA,Ap #652-3730 Magna St.,"$1,547",555-895-2771,I6C 7X8
15/09/2020 02:45:33,GRUA,MAPFRE SEGUROS,Desirae Hanson,13716824 9156,CESAR,Ap #872-6157 Proin St.,"$3,865",556-596-4342,I5D 9D2
02/03/2022 09:27:35,GRUA,GONER,Thor Hawkins,98436444 4183,SUSANA,460-8463 Molestie Avenue,"$8,605",556-533-4162,P8I 5W8
26/03/2020 07:50:51,PAGO DIRECTO,SEGUROS ATLAS,Sean Jacobs,84496360 5281,RAMIRO,"P.O. Box 854, 8669 Tellus, Avenue",$187,554-241-2224,M7N 8X6
13/06/2020 11:54:53,COMBUSTIBLE,SEGUROS ATLAS,Octavius Fuller,65506658 2424,RIGOBERTO,899-1018 Aliquam Road,"$3,540",555-981-2170,W9H 4W7
17/07/2021 01:16:58,CASETAS,GONER,Camden Tate,38385637 0385,SUSANA,"669-1647 Lorem, Rd.","$4,254",554-847-0973,N0V 4Q6
28/07/2020 11:58:24,PAGO DIRECTO,GONER,Gillian Donaldson,51976671 6275,SUEMY,"P.O. Box 337, 4264 Morbi Street","$3,455",552-427-2115,E2J 4N2
20/02/2022 02:13:55,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Brenden Edwards,80274453 7526,EDGAR,Ap #602-1401 Ligula. Av.,"$1,066",553-611-4512,H1K 2K4
03/03/2022 07:12:04,AUXILIO VIAL,MAZDA,Jenette Berry,19825548 8447,EDGAR,717-1708 Velit Road,"$5,358",557-654-1888,I4V 4J6
22/03/2020 10:02:02,CASETAS,GENERAL MOTORS,Tashya Hudson,08216855 9714,RIGOBERTO,1781 Vehicula. Avenue,"$4,545",558-714-3184,Y1F 2C7
11/11/2021 02:42:38,PAGO DIRECTO,GENERAL MOTORS,Ferris Serrano,97419838 3416,MARISOL,676-7313 Dapibus Rd.,"$1,456",557-688-2722,J3O 2T1
03/08/2021 07:42:39,CASETAS,SEGUROS ATLAS,Diana Alexander,15612629 1837,RIGOBERTO,681-4648 Duis Rd.,"$8,052",558-143-3583,C6T 1A6
08/07/2021 10:57:55,AUXILIO VIAL,GONER,Carson Pace,84416770 7125,TANIA,Ap #562-810 Turpis. St.,"$1,215",556-483-9502,F7E 6Y6
26/07/2020 07:45:44,GRUA,GONER,Shaeleigh Owen,82433484 7542,RAMIRO,450-4305 Suspendisse St.,"$6,272",559-533-5924,J7R 4B6
09/08/2021 11:28:48,GRUA,MAZDA,Jena Hudson,03053879 7781,CESAR,Ap #838-1948 Vitae St.,$702,554-536-1340,X6P 4S0
15/09/2020 02:30:38,PAGO DIRECTO,GENERAL MOTORS,Quamar Bowers,11983774 9927,CESAR,"P.O. Box 648, 9443 Duis St.","$1,587",555-653-8214,T3Q 3I1
30/11/2020 07:09:20,AUXILIO VIAL,GONER,Clark French,67843238 3439,SUSANA,"Ap #715-855 Vestibulum, Avenue","$5,750",559-562-8745,Y8M 1F2
17/11/2021 04:42:50,PAGO DIRECTO,SEGUROS ATLAS,Marshall Fields,76741062 6042,MARISOL,2489 Eros. Road,"$6,052",553-918-8427,H4A 3J6
27/08/2021 03:07:24,CASETAS,GENERAL MOTORS,Medge Finch,24886692 9486,ANDRES,"1967 Sapien, St.","$9,982",554-407-5756,T1Y 4A2
22/03/2021 03:23:50,COMBUSTIBLE,MAPFRE SEGUROS,May Fleming,06050555 4135,CESAR,903-6515 Massa St.,"$6,349",558-534-6572,R7L 6V2
14/11/2020 07:08:07,GRUA,GONER,Isabella Hinton,55163811 4926,ANDRES,Ap #966-9654 Ridiculus Rd.,"$2,460",557-235-7257,Q3C 6G4
05/04/2021 07:09:10,URGENCIAS HOSPITAL,MAPFRE SEGUROS,Keelie Mooney,92665188 7118,MARISOL,6539 Suspendisse Avenue,"$3,484",554-541-9364,Z2Y 1Y1
14/05/2021 10:45:35,CASETAS,SEGUROS ATLAS,Risa Hodges,77751806 2382,MARISOL,"P.O. Box 577, 5572 Metus. Street","$7,220",558-341-2077,I7E 2V7
03/06/2020 11:58:15,AUXILIO VIAL,MAZDA,Herman Bryan,65773465 0672,CESAR,279-2382 Nascetur Road,"$5,355",553-241-2086,T5L 2R1
20/10/2020 01:19:37,AUXILIO VIAL,GONER,Gretchen York,52576119 3726,SUEMY,Ap #565-5129 Dolor. Street,"$9,881",553-567-6262,T1E 6S7
12/06/2021 04:58:40,PAGO DIRECTO,GENERAL MOTORS,Hamilton Maynard,57467681 8545,RIGOBERTO,"P.O. Box 149, 3961 Morbi Ave","$2,969",553-704-2828,O0K 5D7
28/08/2021 10:16:34,PAGO DIRECTO,GNP,Adara Tran,54775302 3665,SUSANA,925-983 Tristique Rd.,$216,558-394-2945,V6O 8R2
22/05/2021 05:07:51,URGENCIAS HOSPITAL,GENERAL MOTORS,Virginia Ryan,72767924 3734,ANDRES,781-6151 Accumsan Street,"$2,654",551-455-7828,N2B 1G4
03/07/2021 02:16:43,PAGO DIRECTO,MAZDA,Hakeem Aguilar,12057282 5468,EDGAR,343-9434 Interdum. Street,"$6,615",552-483-4682,N5H 7H5
21/05/2020 06:47:22,AUXILIO VIAL,GONER,Aline Austin,71222519 5765,SUSANA,"702-3251 Non, Rd.","$1,373",552-586-6371,H3D 0U0
